Index,Name,HDD,SSD,RAM,Weight,Processor,Price
0,Acer aspire 3 slim A31522,0,1024,4,2,AMD Radeon,30000
1,Acer aspire 5 A51551G5673,1024,0,8,2,Intel i5,50000
2,Apple macbook MNY H2HN/A,0,256,8,1,Intel i5,112000
3,Apple macbook pro,0,512,16,2,Intel i9,225000
4,Apple macbook pro MR942 HNA/a,0,512,16,2,Intel i9,240000
5,Apple macbook pro MUHQ 2HN/A,0,128,8,2,Intel i5,118000
6,Asus Rog G703GIE 5148T,2024,512,64,5,Intel i9,500000
7,Asus Rog strix scar 4 G531GV,0,1024,16,3,Intel i7,150000
8,Asus Rog Zephyrus,0,512,16,2,Intel i7,150000
9,Asus vivobook 15 XY12DEAJ 4490,1024,0,8,2,AMD Radeon,40000
10,Asus vivobook intel celeron N4000,512,0,8,2,Intel i9,454554
11,Dell inspiron 15,1024,0,4,3,AMD Radeon,34000
12,Dell inspiron 5575,1024,0,8,2,AMD Radeon,54000
13,Dell new XPS 9370,1024,256,8,2,Intel i5,117000
14,Dell vostro 3480,1024,0,4,2,Intel i3,33000
15,HP 14 QCS 0019 TU,512,256,4,2,Intel i3,39000
16,HP 15 QDS 0045 TU,512,256,4,2,Intel i3,42000
17,HP Notebook 7341DASY,1024,0,4,4,Intel i3,66000
18,HP Touchscreen G3590012,1024,128,6,1,Intel i3,94000
19,i Ball ComBook Celeron 32,512,0,3,2,Intel i9,15000
20,I Ball excellence OHD,32,0,2,1,Intel i9,13000
21,i Ball premio V30,32,512,4,1,Intel i3,20000
22,Lenovo ideapad 330s,1024,0,4,2,Intel i5,44000
23,Microsoft Surface Laptop,0,512,16,1,Intel i7,196000
24,MSI Gaming GT83 TRG007 IN,1024,512,32,6,Intel i7,420
25,Omen X2S,0,2048,16,3,Intel i9,330
26,Razer Blade Gaming Laptop RTX2510,1024,512,16,2,Intel i7,295
27,Razer Blade Gaming Laptop RTX,0,512,16,2,Intel i7,380000
28,Razer Blade Stealth,0,256,8,1,Intel i8,180000
29,Acer aspire 3UN.GNVSI.009,1024,0,4,2,AMD Radeon,35000
30,Acer Aspire A315-12,1024,0,8,3,Intel Pentium,30000
31,Acer Aspire E15,1024,0,8,2,Intel i3,40000
32,Acer Aspire ES-476,1024,0,16,2,Intel i3,40000
33,Acer Aspire ES15NXG2KXI0225,1024,0,16,3,AMD Radeon,25000
34,Acer Nitro AN51542,1024,0,8,3,AMD Radeon,66000
35,Acer Nitro 7,0,1024,64,3,Intel i5,100000
36,Acer 1 AOZ422,1024,0,16,2,AMD Radeon,30000
37,Acer 1FRT2658,1024,0,16,2,AMD Radeon,25000
